filename,text,Model Transcriptions
sample-000000.mp3,he had to spit some tobacco out of his mouth,HE HAD TO SPIT SOME TOBACCO OUT OF HIS MOUTH
sample-000001.mp3,it took her a while to get used to it,TO GUT AWABLE TO GET YOU STIP
sample-000002.mp3,you will need some rubber boots,YOU WILL NEED SOME ROBBER BOOTS
sample-000003.mp3,you can speak a label to click on an element,YOU CAN SPEAK LABEL TO CLICK ON AN ELEMENT
sample-000004.mp3,the priest collapsed backwards,THE PRIEST COLLAPSED BACKWARDS
sample-000005.mp3,we're a couple of financial wizards,WEAR A COUPLE OF FINANCIAL WIZARDS
sample-000006.mp3,better hurry and shave,BETTER HIRY IN SHAPE
sample-000007.mp3,now listen to me,NOW LISTEN TO ME
sample-000008.mp3,you called that number not ten minutes ago,YOU CAUGHT THAT NUMBER NOT TEN MINUTES AGO
sample-000009.mp3,she just stepped out,SHE JUST STEPPED OUT
sample-000010.mp3,those women are all card sharks don't be fooled,THOSE WOMEN ARE ALL COD SHOCKS DON'T BE FOOD
sample-000011.mp3,wish i had a million dollars,WISH I HAD A MILLION DOLLARS
sample-000012.mp3,ask the owner of that stall how much the sword costs he said to his friend,ASK THE OWNER OF THAT STALL HOW MUCH THE SWORD COSTS HE SAID TO HIS FRIEND
sample-000013.mp3,i haven't any hard feelings,I HAVEN'T ANY HARD FEELINGS
sample-000014.mp3,there's that reprieve if they ever find out,THER'S THAT THREPRIVE IF THEYR EVER FIND LOV
sample-000015.mp3,the monk was irritated,THE MONK WAS IRRITATED
sample-000016.mp3,can i go now,CAN I GO NOW
sample-000017.mp3,they were strange books,
sample-000018.mp3,what is an alchemist he asked finally,WHAT IS AN ALCHYMIST HE ASKED FINALLY
sample-000019.mp3,the ashtray was empty,THE ESTREE WAS EMPTY
sample-000020.mp3,or do you think it would spoil him,OR DO YOU THINK IT WOULD SPOIL HIM
sample-000021.mp3,what do they want,WHAT DO THEY WANT
sample-000022.mp3,he says it's the chance of a lifetime,HE SAYS IT'S THE CHANCE OF A LIFETIME
sample-000023.mp3,look how flexible these athletes are,LOOK HOW FLEXIBLE THESE ATLETES ARE
sample-000024.mp3,book me and my grandparents a restaurant in saint helens south dakota,LOOK ME MY GRANDPARENTS A RESTAUANT AS SAINT HELEN'S SOUTH DE
sample-000025.mp3,the book was written in spanish,THE BOOK WAS WRITTEN IN
sample-000026.mp3,elizabeth charles is dead,ELIZABETH CHARLES IS DEAD
sample-000027.mp3,ii was terribly worried,I I WAS TERRIBLY WORRIED
sample-000028.mp3,i need to sell some wool the boy told the merchant,I NEED TO SELL SOME WOOL THE BOY TOLD THE MERCHANT
sample-000029.mp3,you're the hope of the world,YOU'RE THE HOPE OF THE WORLD
sample-000030.mp3,i think its too overwhelming to introduce two complex tools that basically do the same things,THINK IT'S TOO OVERWHELMING TO INTRODUCE TWO COMPLEX TOOLS THAT BASICALLY DO THE SAME THINGS
sample-000031.mp3,before he gets through tonight he'll ruin us all,BEFORE HE GETS THROUGH TO NIGHT HE'LL RUIN US ALL
sample-000032.mp3,any dope yet on how he got out,ANIDOLPIET ON HOW HE GOT OUT
sample-000033.mp3,will you come here,WILL YOU COME HERE
sample-000034.mp3,but don't let him interrupt you,BUT DON'T LET HIM INTERRUPT YOU
sample-000035.mp3,what're you trying to do,WHAT ARE YOU TRYIN TO DO
sample-000036.mp3,i'm afraid the joke's on us,I'M AFRAID THE JOKE'S ON US
sample-000037.mp3,is the butcher boy playing anywhere at supper time,IS THE BUTCHER BOY PLAYING ANYWHERE AT SUPPER TIME
sample-000038.mp3,i heard a peculiar humming sound from the pit,I HEARD A PECULIAR HUMMING SOUND FROM THE PIT
sample-000039.mp3,let's dance,LET'S DANCE
sample-000040.mp3,seventeen minutes later she was in the water and nearly drowned,SEVENTEEN MINUTES LATER SHE WAS IN THE WATER AND NEARLY DRAWN
