filename,text,Model Transcriptions
sample-000000.mp3,he had to spit some tobacco out of his mouth,HE HAD TO SPIT SOME TOBACCO OUT OF HIS MOUTH
sample-000001.mp3,it took her a while to get used to it,TOOK IT AWAY LIKE AT YOU STIT
sample-000002.mp3,you will need some rubber boots,YOU WILL NEED SOME RUBBER BOOTS
sample-000003.mp3,you can speak a label to click on an element,YOU CAN SPEAK A LABEL TO CLICK ON AN ELEMENT
sample-000004.mp3,the priest collapsed backwards,THE PRIEST COLLAPSED BACKWARDS
sample-000005.mp3,we're a couple of financial wizards,WERE A COUPLE OF FINANCIAL WIZARDS
sample-000006.mp3,better hurry and shave,BETTER HURRY AND SHAVE
sample-000007.mp3,now listen to me,NOW LISTEN TO ME
sample-000008.mp3,you called that number not ten minutes ago,YOU CAUGHT THAT NUMBER NOT TEN MINUTES AGO
sample-000009.mp3,she just stepped out,SHE JUST STEPPED OUT
sample-000010.mp3,those women are all card sharks don't be fooled,THOSE WOMEN ARE ALL CARD SHAKS DON'T BE FOOLED
sample-000011.mp3,wish i had a million dollars,WISH I HAD A MILLION DOLLARS
sample-000012.mp3,ask the owner of that stall how much the sword costs he said to his friend,ASK THE OWNER OF THAT STALL HOW MUCH THE SWORD COSTS HE SAID TO HIS FRIEND
sample-000013.mp3,i haven't any hard feelings,I HAVEN'T ANY HARD FEELINGS
sample-000014.mp3,there's that reprieve if they ever find out,NERVES THAT REPRIVE IF THEY EVER FIND OUT
sample-000015.mp3,the monk was irritated,THE MONK WAS IRRITATED
sample-000016.mp3,can i go now,CAN I GO NOW
sample-000017.mp3,they were strange books,
sample-000018.mp3,what is an alchemist he asked finally,WHAT IS AN ALCHEMIST HE ASKED FINALLY
sample-000019.mp3,the ashtray was empty,THE ASH TRAY WAS EMPTY
sample-000020.mp3,or do you think it would spoil him,OR DO YOU THINK IT WOULD SPOIL HIM
sample-000021.mp3,what do they want,WHAT DO THEY WANT
sample-000022.mp3,he says it's the chance of a lifetime,HE SAYS IT'S THE CHANCE OF A LIFETIME
sample-000023.mp3,look how flexible these athletes are,LOOK HOW FLEXIBLE THESE ATHLETES ARE
sample-000024.mp3,book me and my grandparents a restaurant in saint helens south dakota,BOOK ME MY GRANDPARENTS A RESTAURANT OF SAINT HELEN'S SOUTH
sample-000025.mp3,the book was written in spanish,THE BOOK WAS WRITTEN IN
sample-000026.mp3,elizabeth charles is dead,ELIZABETH CHARLES IS DEAD
sample-000027.mp3,ii was terribly worried,I I WAS TERRIBLY WORRIED
sample-000028.mp3,i need to sell some wool the boy told the merchant,I NEED TO SELL SOME WOOL THE BOY TOLD THE MERCHANT
sample-000029.mp3,you're the hope of the world,YE THE HOPE OF THE WORLD
sample-000030.mp3,i think its too overwhelming to introduce two complex tools that basically do the same things,THINK IT'S TOO OVERWHELMING TO INTRODUCE TWO COMPLEX TOOLS THAT BASICALLY DO THE SAME THINGS
sample-000031.mp3,before he gets through tonight he'll ruin us all,BEFORE HE GETS THROUGH TO NIGHT HE'LL RUIN US ALL
sample-000032.mp3,any dope yet on how he got out,ANY DOPE YET ON HOW HE GOT OUT
sample-000033.mp3,will you come here,WILL YOU COME HERE
sample-000034.mp3,but don't let him interrupt you,BUT DON'T LET HIM INTERRUPT YOU
sample-000035.mp3,what're you trying to do,WHAT ARE YOU TRYING TO DO
sample-000036.mp3,i'm afraid the joke's on us,I'M AFRAID THE JOKE'S ON US
sample-000037.mp3,is the butcher boy playing anywhere at supper time,IS THE BUTCHER BOY PLAYING ANYWHERE AT SUPPER TIME
sample-000038.mp3,i heard a peculiar humming sound from the pit,I HEARD A PECULIAR HUMMING SOUND FROM THE PIT
sample-000039.mp3,let's dance,LET'S DANCE
sample-000040.mp3,seventeen minutes later she was in the water and nearly drowned,SEVENTEEN MINUTES LATER SHE WAS IN THE WATER AND NEARLY DROWNED
sample-000041.mp3,with a bag of marshmallows,WA THE BAG O MARSH MALLOWS
sample-000042.mp3,you're far too valuable,YOU ARE FAR TOO VOLUABLE
sample-000043.mp3,you guys at mozilla should really include every letter of the alphabet into this,GISAD MOSELLA SHOULD REALLY INCLUDE EVERY LETTER OF THE ALPHABET INTO THIS
sample-000044.mp3,is it cold in vigus tennessee,IS IT COLD IN VIGUS TENNESSEE
sample-000045.mp3,come into my office,COME INTO MY OFFICE
sample-000046.mp3,we can both hear,WE CAN BOTH HEAR
sample-000047.mp3,i'm leaving right now,I'M LEAVING RIGHT NOW
sample-000048.mp3,that was until the site was blocked,THAT WAS UNTIL THE SITE WAS BLOCKED
sample-000049.mp3,we've been fed baloney so long we're getting used to it,WE'VE BEEN FED BALONE SO LONG WE ARE GETTING USED TO IT
sample-000050.mp3,your luck's not with you now,YOUR LUCK'S NOT WITH YOU NOW
sample-000051.mp3,who do you think writes them,WHO DO YOU THINK RASDEM
sample-000052.mp3,i'll discuss the techniques i use to wrangle my grammars,I'LL DISCUSS THE TECHNIQUES I USE TO WRANGLE MY GRAMMARS
sample-000053.mp3,underneath the ground was a world unknown to any human,UNDERNEATH THE GROUND WAS A WORLD UN NOW HUMAN
sample-000054.mp3,just the ant colony of the neighborhood,JUST THE ANT COLONY OF THE NEIGHBORHOOD
sample-000055.mp3,burning fridges televisions and washing machines are not as unusual as one might think,BURNING FRIGES TELEVATION AND WASHING MASHING ARE NOT AS UNUSUAL AS ONE MIGHT THINK
sample-000056.mp3,everyone has once heard of the chickeneggproblem,EVERYONE HAS ONCE HEARD OF THE CHICKEN EGG PROBLEM
sample-000057.mp3,alchemy is a serious discipline,ALCHEMI IS A SERIOUS
sample-000058.mp3,we therefore oppose the resolution,WE THEREFORE OPPOSE THE RESOLUTION
sample-000059.mp3,i'll be back in a minute,I'LL BE BACK IN A MINUTE
sample-000060.mp3,my friend was getting married and asked me to be her maid of honor,MY FRIEND WAS GETTING MARRIED AND ASKED ME TO BE HER MAID OF HONOUR
sample-000061.mp3,we've got to do something,WE'VE GATHERED YOU SOMETHING
sample-000062.mp3,don't get technical at a time like this,DON'T GET THECNICL AT A TIM LIKE
sample-000063.mp3,this is mr zach carter,THIS IS MISTER ZECK CARTER
sample-000064.mp3,the article references previous biometric work in a reasonable way,THE ARTICLE REFERENCES PREVIOUS BIOMETRIC WORK IN A REASONABLE WAY
sample-000065.mp3,you have missed more than two decades of rapid progress in image processing,YOU HAVE MISSED MORE THAN TWO DECADES OF RAPID PROGRESS IN IMAGE PROCESSING
sample-000066.mp3,he was already re accustomed to desert's silence,HE WAS ALREADY REACCUSTOMED TO DESERT SUN
sample-000067.mp3,she composed an emotional song in her bedroom,SHE COMPOSED AN EMOTIONAL SONG IN HER BEDROOM
sample-000068.mp3,maybe the alchemist has never been in love the boy thought,MAYBE THE ALCHEMIST HAS NEVER BEEN IN LOVE THE BOY THOUGHT
sample-000069.mp3,only one way you can help me,ONLY ONE WAY YOU CAN HELP ME
sample-000070.mp3,about time one of you lunkheads said it,ABOUT TIME ONE OF YOU LUNK HEADS SAID IT
sample-000071.mp3,is it possible to see the italian job at malco theatres,IT IS POSSIBLE TO SEE THE ITALIAN JOB AT MALCO THEATRES
sample-000072.mp3,towering buildings form the quintessential skyline,TOWERING BUILDINGS FROM THE QUINTE CENTRAL SKYLINE
sample-000073.mp3,of course he's coming back here,OF COURSE HE'S COMING BACK HERE
sample-000074.mp3,please search the songs for the deaf video game,ESER THE SOUND FOR THE DEATH
sample-000075.mp3,keep me here until i get over it,KEEP ME HERE UNTIL I GET OVER IT
sample-000076.mp3,we couldn't make it in a week,WE COULDN'T MAKE IT IN A WEEK
sample-000077.mp3,a little college girl from a school of journalism,A LITTLE COLLEGE GIRL FROM A SCHOOL OF CONLISM
sample-000078.mp3,book a reservation for a pub serving croquembouche,BOOKA RESERVATION FOR POB SERVING CROKIM BOSH
sample-000079.mp3,but you want to know something,BUT YOU WANT TO KNOW SOMETHING
sample-000080.mp3,a friend had told the boy about the shop and he had taken his sheep there,A FRIEND HAD TOLD THE BOY ABOUT THE SHOP AND HE HAD TAKEN HIS SHIP THERE
sample-000081.mp3,he wants to get jill started in the research business,HE WENT TO GET JILL HE STARTED IN THE RESOND BUSINESSES
sample-000082.mp3,you will never reopen,YOU WILL NEVER REOPEN
sample-000083.mp3,the microphone put out a muffled signal,THE MICROPHONE PUT OUT A MUFFLED SIGNAL
sample-000084.mp3,i'm interested only in the present,I'M INTERESTED ONLY IN THE PRESENT
sample-000085.mp3,here i am between my flock and my treasure the boy thought,
sample-000086.mp3,i think somebody stole one of his crown jewels,I THINK SOMEBODY STOLE ONE OF HIS CROWN JAILERS
sample-000087.mp3,what would it take to convince you to return my doormat,WHAT WOULD IT TAKE TO CONVINCE YOU TO RETUN MY DOR DORMAT
sample-000088.mp3,it wasn't there,
sample-000089.mp3,the pink love heart keyring glowed,THE PINK LOVE HEART KERING GLOWED
sample-000090.mp3,you couldn't even be honest about being dishonest,YOU COULDN'T EVEN BE HONEST ABOUT BEING DISHONEST
